job_id,record_id,parent_record_id,content_type,json_path,field_name,source_ko,existing_en,suggested_en,status,needs_review,review_reason,source_hash,approved
portfolio-en-20260806T140416Z,638c3bb4-6c39-4f9e-9e06-8e2783bbd814:works:0,638c3bb4-6c39-4f9e-9e06-8e2783bbd814,artist_work_media,works[0],special_media_item,[excluded profile media item],,,skipped,false,excluded_profile_media_item,c70454a657c9cd98961f77629d07ea940b63ce3c54d8723d7d5a3e7d363f28da,false
portfolio-en-20260806T140416Z,7fb90338-2d50-40f4-92d7-ac92202f123f,7fb90338-2d50-40f4-92d7-ac92202f123f,artist,name_en,name,Dayeon Lee,,,skipped,false,already_english_only,b2248f06c8b533465fa12da5eaf7de54f30fbf8ece166ed4e6a9100f180fe503,false
portfolio-en-20260806T140416Z,7fb90338-2d50-40f4-92d7-ac92202f123f:affiliations:0,7fb90338-2d50-40f4-92d7-ac92202f123f,artist_affiliations,affiliations[0].organization_en,name,POPOK Test Company,,,skipped,false,already_english_only,3ad5396d64eb3ece467a800f5d25898d463302ff4f07b86fa1d6c023265b1555,false
portfolio-en-20260806T140416Z,9072f1cb-dd36-4343-9fe4-c5c510651324:works:0,9072f1cb-dd36-4343-9fe4-c5c510651324,artist_work,works[0].title_en,title,Getting Yellow,,,skipped,false,already_english_only,83abc1866b4fce4d54a1b846c2f1a35ee71a7e1538da35554ec1963cdeda0a0a,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist,name_en,name,Bomin Kim,,,skipped,false,already_english_only,21f59970913c05d4336304ab1e3d801633f1c2e0d7eb8491204f9bb2a9f7c245,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:works:11,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_work,works[11].title_en,title,Project Dance Archiving,,,skipped,false,already_english_only,a6001dcc93adf42f02153dc42c7ea56f63f8451c7c809e88ca8e9f953840ab9d,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:works:16,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_work,works[16].title_en,title,nu(~),,,skipped,false,already_english_only,48e59d8b6cf6e10f10b82e5f9e4cf915dd1f8cb5a05d0d41928b0c6577b0874f,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:works:24,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_work,works[24].title_en,title,Project Dance Archiving,,,skipped,false,already_english_only,a6001dcc93adf42f02153dc42c7ea56f63f8451c7c809e88ca8e9f953840ab9d,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:works:25,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_work,works[25].title_en,title,nu(~),,,skipped,false,already_english_only,48e59d8b6cf6e10f10b82e5f9e4cf915dd1f8cb5a05d0d41928b0c6577b0874f,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:works:26,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_work,works[26].title_en,title,nu(~),,,skipped,false,already_english_only,48e59d8b6cf6e10f10b82e5f9e4cf915dd1f8cb5a05d0d41928b0c6577b0874f,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:competitions:0,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_competitions,competitions[0].title_en,title,Artistic Research,,,skipped,false,already_english_only,9e0d1bd376d6072865179af912a2b6696b40049f35f035ba901addf8f87d6503,false
portfolio-en-20260806T140416Z,ec71b25f-81d0-4885-8dbd-45abf94cc4f0:competitions:0,ec71b25f-81d0-4885-8dbd-45abf94cc4f0,artist_competitions,competitions[0].organization_en,organization,Art Collider Lab,,,skipped,false,already_english_only,873eefa844f8bd0c33267d8a66193adaafa8365389294c21699d41f431db97b6,false
portfolio-en-20260806T140416Z,4f510524-5737-4890-a11b-77e9c01853f4:works:1,4f510524-5737-4890-a11b-77e9c01853f4,artist_work,works[1].title_en,title,Division,,,skipped,false,already_english_only,1945f15d0d5d0e6a95612eef533458bc9f7e6cd3ba69b2ea269f9b7f813747a7,false
portfolio-en-20260806T140416Z,75ad56ee-fc5d-455a-8e22-a8b7625887a0:works:0,75ad56ee-fc5d-455a-8e22-a8b7625887a0,artist_work,works[0].title_en,title,No Matter + white night,,,skipped,false,already_english_only,cb26b4c90eb2f37b272b7c4cb2b1c39bd0eab7fafc739b8615852f764a4fa161,false
portfolio-en-20260806T140416Z,75ad56ee-fc5d-455a-8e22-a8b7625887a0:works:5,75ad56ee-fc5d-455a-8e22-a8b7625887a0,artist_work,works[5].title_en,title,memento mori,,,skipped,false,already_english_only,e6d65b8d6997fff9eab78e887c2b63db6077e016c68c54b90a5c8d9c850d47f3,false
portfolio-en-20260806T140416Z,75ad56ee-fc5d-455a-8e22-a8b7625887a0:works:9,75ad56ee-fc5d-455a-8e22-a8b7625887a0,artist_work,works[9].title_en,title,Break the rules,,,skipped,false,already_english_only,6532085072b48f38d060e49d3d73f83157d4c9bf2dcfdb449806309b90148904,false
portfolio-en-20260806T140416Z,75ad56ee-fc5d-455a-8e22-a8b7625887a0:affiliations:0,75ad56ee-fc5d-455a-8e22-a8b7625887a0,artist_affiliations,affiliations[0].organization_en,name,Gals dance company,,,skipped,false,already_english_only,98a2bfd723cee67a2587ac48c8bc900cffc15767f7c7ad30a7537d46a5671118,false
portfolio-en-20260806T140416Z,75ad56ee-fc5d-455a-8e22-a8b7625887a0:affiliations:1,75ad56ee-fc5d-455a-8e22-a8b7625887a0,artist_affiliations,affiliations[1].organization_en,name,A-OTD company,,,skipped,false,already_english_only,0ed5ca6b0b9e8824024be424430f9ce6d4607d19be447c43df7d6eb3a120c459,false
portfolio-en-20260806T140416Z,a9160f87-d6cf-438f-92ce-26c4d997839d,a9160f87-d6cf-438f-92ce-26c4d997839d,artist,introduction_en,bio_short,"K-POP Songwriter, Producer",,,skipped,false,already_english_only,3d301b52fb9f6b3f66c22ed9dc64e3ddbf1f96e12e80250352725b935f8cc63a,false
portfolio-en-20260806T140416Z,a9160f87-d6cf-438f-92ce-26c4d997839d:works:0,a9160f87-d6cf-438f-92ce-26c4d997839d,artist_work,works[0].title_en,title,Whale in the Daylight!,,,skipped,false,already_english_only,b679bbba6ba587c729c135cbadf5264677e1ff021388db73471eba4450134c2d,false
portfolio-en-20260806T140416Z,a9160f87-d6cf-438f-92ce-26c4d997839d:works:1,a9160f87-d6cf-438f-92ce-26c4d997839d,artist_work_media,works[1],special_media_item,[excluded profile media item],,,skipped,false,excluded_empty_legacy_work_item,e2094e398a578ce2e1ce3e1a61c6608cdd0fc62608a9b5f42659a29d3320bf10,false
portfolio-en-20260806T140416Z,5cbbadd7-5040-442a-98a9-a866c5401085,5cbbadd7-5040-442a-98a9-a866c5401085,artist,name_en,name,DH2 Lee,,,skipped,false,already_english_only,6eeb0f017126bdd5489466cd566294b92e97099abc45babcde2c74c2e25465ce,false
portfolio-en-20260806T140416Z,ddf795ac-0a8a-45f7-b893-88712bec3e48:core_values:2,ddf795ac-0a8a-45f7-b893-88712bec3e48:core_values:2,company_core_value,core_values_en[2],core_value,SNS,,,skipped,false,already_english_only,b9876fbf3ea38a8adf87c35a03272fec5ca215b57da3209e7c8977e72c5f801d,false
